Date: 2017030506
Time: 22:50:04.134
Station_Code: APO
Long: 017.357222 E
Lati: 045.819722 N
Height: 0135 m
2457818.4514367362 082.017 +33.950 +1.2
2457818.4514371990 082.064 +33.973 +1.2
2457818.4514376619 082.124 +34.013 +1.1
2457818.4514381252 082.164 +34.064 +1.2
2457818.4514390510 082.238 +34.121 +1.1
2457818.4514395138 082.298 +34.160 +1.0
2457818.4514404400 082.406 +34.223 +0.9
2457818.4514409029 082.453 +34.246 +0.8
2457818.4514413658 082.500 +34.269 +0.9
2457818.4514418286 082.554 +34.336 +0.9
2457818.4514422915 082.621 +34.348 +0.9
2457818.4514427548 082.668 +34.371 +1.0
2457818.4514432177 082.722 +34.439 +0.9
2457818.4514436806 082.749 +34.472 +0.7
2457818.4514441434 082.850 +34.490 +0.8
2457818.4514446063 082.911 +34.530 +0.8
2457818.4514450696 082.958 +34.553 +0.7
2457818.4514455325 082.979 +34.614 +0.8
2457818.4514459954 083.060 +34.643 +0.7
2457818.4514464582 083.074 +34.660 +0.7
2457818.4514469211 083.148 +34.716 +0.9
2457818.4514473844 083.210 +34.756 +0.6
2457818.4514478473 083.291 +34.784 +0.5
2457818.4514483102 083.352 +34.824 +0.7
2457818.4514487730 083.413 +34.864 +0.4
2457818.4514492359 083.447 +34.869 +0.5
2457818.4514496992 083.502 +34.937 +0.5
2457818.4514501621 083.584 +34.965 +0.5
2457818.4514506250 083.645 +35.005 +0.7
2457818.4514510878 083.721 +35.061 +0.5
2457818.4514515507 083.735 +35.078 +0.4
2457818.4514520140 083.810 +35.134 +0.5
2457818.4514524769 083.892 +35.163 +0.4
2457818.4514529398 083.968 +35.219 +0.4
2457818.4514534026 084.029 +35.258 +0.4
2457818.4514538660 084.057 +35.292 +0.3
2457818.4514543288 084.133 +35.348 +0.4
2457818.4514547917 084.201 +35.360 +0.4
2457818.4514552546 084.277 +35.416 +0.2
2457818.4514557174 084.374 +35.461 +0.2
2457818.4514561808 084.422 +35.483 +0.1
2457818.4514566436 084.478 +35.550 +0.2
2457818.4514571065 084.554 +35.607 +0.2
2457818.4514575694 084.602 +35.629 +0.3
2457818.4514580322 084.665 +35.668 +0.3
2457818.4514584956 084.748 +35.696 +0.2
2457818.4514589584 084.824 +35.752 +0.2
2457818.4514594213 084.901 +35.808 +0.1
2457818.4514598842 084.964 +35.847 +0.3
2457818.4514603470 085.061 +35.892 +0.2
2457818.4514608104 085.103 +35.942 +0.3
2457818.4514612732 085.187 +35.970 +0.3
2457818.4514617361 085.264 +36.026 +0.2
2457818.4514621990 085.341 +36.082 +0.1
2457818.4514626618 085.439 +36.127 +0.0
2457818.4514631252 085.496 +36.194 -0.0
2457818.4514635880 085.579 +36.221 +0.0
2457818.4514640509 085.636 +36.288 +0.0
2457818.4514645138 085.734 +36.333 -0.1
2457818.4514649766 085.792 +36.400 -0.1
2457818.4514654400 085.855 +36.439 -0.1
2457818.4514659029 085.974 +36.472 -0.1
2457818.4514663657 086.038 +36.511 -0.1
2457818.4514668286 086.130 +36.583 -0.1
2457818.4514672915 086.194 +36.622 -0.1
2457818.4514677548 086.287 +36.694 -0.1
2457818.4514682177 086.351 +36.733 -0.1
2457818.4514686805 086.450 +36.777 -0.1
2457818.4514691434 086.528 +36.832 -0.1
2457818.4514696063 086.592 +36.871 -0.1
2457818.4514700696 086.692 +36.915 -0.1
2457818.4514705325 086.771 +36.970 -0.1
2457818.4514709953 086.850 +37.026 -0.1
2457818.4514714582 086.964 +37.086 -0.1
2457818.4514719215 087.064 +37.130 -0.1
2457818.4514723844 087.137 +37.213 -0.1
2457818.4514728473 087.258 +37.246 -0.1
2457818.4514733101 087.317 +37.312 -0.1
2457818.4514737730 087.438 +37.344 -0.1
2457818.4514742363 087.538 +37.388 -0.1
2457818.4514746992 087.633 +37.460 -0.1
2457818.4514751621 087.733 +37.503 -0.0
2457818.4514756249 087.813 +37.558 -0.1
2457818.4514760878 087.929 +37.618 -0.1
2457818.4514765511 088.039 +37.706 -0.1
2457818.4514770140 088.155 +37.766 -0.1
2457818.4514774769 088.257 +37.809 -0.1
2457818.4514779397 088.358 +37.852 -0.1
2457818.4514784026 088.454 +37.924 -0.1
2457818.4514788659 088.565 +38.011 -0.1
2457818.4514793288 088.652 +38.038 -0.1
2457818.4514797917 088.769 +38.097 +0.0
2457818.4514802545 088.907 +38.145 -0.1
2457818.4514807174 089.018 +38.233 -0.1
2457818.4514811807 089.100 +38.287 -0.1
2457818.4514816436 089.218 +38.346 -0.1
2457818.4514821065 089.320 +38.389 -0.1
2457818.4514825693 089.438 +38.448 -0.1
2457818.4514830322 089.520 +38.502 -0.1
2457818.4514834955 089.654 +38.578 -0.2
2457818.4514839584 089.752 +38.649 -0.2
2457818.4514844213 089.891 +38.696 -0.2
2457818.4514848841 090.005 +38.783 -0.2
2457818.4514853470 090.124 +38.841 -0.2
2457818.4514858103 090.243 +38.900 -0.2
2457818.4514862732 090.363 +38.958 -0.2
2457818.4514867361 090.482 +39.017 -0.2
2457818.4514871989 090.618 +39.092 -0.2
2457818.4514876618 090.753 +39.166 -0.2
2457818.4514881251 090.879 +39.196 -0.2
2457818.4514885880 090.994 +39.283 -0.2
2457818.4514890509 091.114 +39.341 -0.2
2457818.4514895137 091.293 +39.391 -0.2
2457818.4514899771 091.409 +39.477 -0.2
2457818.4514904399 091.572 +39.511 -0.2
2457818.4514909028 091.683 +39.625 -0.2
2457818.4514913657 091.842 +39.687 -0.2
2457818.4514918285 091.974 +39.789 -0.2
2457818.4514922919 092.117 +39.834 -0.2
2457818.4514927547 092.277 +39.896 -0.2
2457818.4514932176 092.415 +39.969 -0.2
2457818.4514936805 092.629 +40.051 -0.2
2457818.4514941433 092.747 +40.136 -0.2
2457818.4514946067 092.902 +40.225 -0.2
2457818.4514950695 093.042 +40.298 -0.2
2457818.4514955324 093.203 +40.359 -0.2
2457818.4514959953 093.364 +40.419 -0.2
2457818.4514964581 093.484 +40.504 -0.2
2457818.4514969215 093.683 +40.568 -0.2
2457818.4514973843 093.862 +40.644 -0.2
2457818.4514978472 093.982 +40.729 -0.2
2457818.4514983101 094.199 +40.808 -0.2
2457818.4514987729 094.324 +40.864 -0.2
2457818.4514992363 094.504 +40.939 -0.2
2457818.4514996991 094.663 +41.027 -0.2
2457818.4515001620 094.823 +41.114 -0.2
2457818.4515006249 095.004 +41.189 -0.2
2457818.4515010878 095.181 +41.292 -0.2
2457818.4515015511 095.363 +41.367 -0.2
2457818.4515020140 095.528 +41.425 -0.2
2457818.4515024768 095.731 +41.487 -0.2
2457818.4515029397 095.885 +41.630 -0.2
2457818.4515034026 096.093 +41.663 -0.2
2457818.4515038659 096.256 +41.749 -0.2
2457818.4515043288 096.478 +41.825 -0.2
2457818.4515047916 096.641 +41.911 -0.2
2457818.4515052545 096.865 +41.987 -0.2
2457818.4515057178 097.067 +42.075 -0.2
2457818.4515061807 097.253 +42.148 -0.2
2457818.4515066436 097.435 +42.248 -0.3
2457818.4515071064 097.664 +42.295 -0.3
2457818.4515075693 097.826 +42.407 -0.3
2457818.4515080326 098.066 +42.526 -0.3
2457818.4515084955 098.313 +42.587 -0.3
2457818.4515089584 098.462 +42.655 -0.3
2457818.4515094212 098.690 +42.728 -0.3
2457818.4515098841 098.875 +42.827 -0.3
2457818.4515103474 099.161 +42.918 -0.3
2457818.4515108103 099.347 +43.017 -0.3
2457818.4515112732 099.613 +43.120 -0.3
2457818.4515117360 099.801 +43.217 -0.3
2457818.4515121989 100.052 +43.276 -0.3
2457818.4515126622 100.359 +43.380 -0.3
2457818.4515131251 100.533 +43.433 -0.3
2457818.4515135880 100.799 +43.562 -0.3
2457818.4515140508 101.053 +43.619 -0.3
2457818.4515145137 101.283 +43.717 -0.3
2457818.4515149770 101.495 +43.799 -0.3
2457818.4515154399 101.748 +43.883 -0.3
2457818.4515159028 101.999 +43.995 -0.3
2457818.4515163656 102.253 +44.078 -0.3
2457818.4515168285 102.527 +44.176 -0.3
2457818.4515172918 102.782 +44.258 -0.3
2457818.4515177547 103.076 +44.370 -0.3
2457818.4515182176 103.290 +44.478 -0.3
2457818.4515186804 103.568 +44.545 -0.3
2457818.4515191433 103.886 +44.642 -0.3
2457818.4515196066 104.202 +44.766 -0.3
2457818.4515200695 104.419 +44.872 -0.3
2457818.4515205324 104.762 +44.925 -0.3
2457818.4515209952 104.978 +45.087 -0.3
2457818.4515214581 105.362 +45.139 -0.3
2457818.4515219214 105.663 +45.246 -0.3
2457818.4515223843 105.905 +45.336 -0.3
2457818.4515228472 106.310 +45.457 -0.3
2457818.4515233100 106.614 +45.533 -0.3
2457818.4515237734 106.899 +45.622 -0.4
2457818.4515242362 107.225 +45.711 -0.4
2457818.4515246991 107.532 +45.813 -0.4
2457818.4515251620 107.860 +45.901 -0.4
2457818.4515256248 108.148 +45.987 -0.4
2457818.4515260882 108.457 +46.059 -0.4
2457818.4515265510 108.746 +46.144 -0.4
