Date: 2017030506
Time: 22:50:11.919
Station_Code: KOP
Long: 016.841214 E
Lati: 046.163564 N
Height: 0146 m
2457818.4515268402 157.352 +22.663 +8.0
2457818.4515270717 157.475 +22.571 +9.2
2457818.4515273031 157.659 +22.461 -1.9
2457818.4515275345 157.866 +22.341 -3.6
2457818.4515277664 158.170 +22.264 -4.4
2457818.4515279979 158.423 +22.152 -6.0
2457818.4515282293 158.675 +22.075 -4.2
2457818.4515284607 159.009 +21.986 -5.2
2457818.4515286922 159.186 +21.882 -3.2
2457818.4515289236 159.517 +21.810 -4.0
2457818.4515291550 159.750 +21.685 -5.5
2457818.4515293865 159.994 +21.596 -4.0
2457818.4515296179 160.262 +21.532 -4.6
2457818.4515298493 160.455 +21.389 -4.2
2457818.4515300812 160.766 +21.323 -5.0
2457818.4515303127 161.004 +21.213 -5.8
2457818.4515305441 161.253 +21.138 -3.2
2457818.4515307755 161.522 +21.017 -3.9
2457818.4515310070 161.713 +20.962 -2.7
2457818.4515312384 162.012 +20.819 -2.6
2457818.4515314698 162.210 +20.727 -5.0
2457818.4515317013 162.463 +20.649 -3.7
2457818.4515319327 162.725 +20.534 -5.2
2457818.4515321641 162.929 +20.421 -4.1
2457818.4515323960 163.222 +20.331 -2.9
2457818.4515326275 163.447 +20.243 -5.7
2457818.4515328589 163.667 +20.092 -3.7
2457818.4515330903 163.955 +20.008 -3.3
2457818.4515333218 164.100 +19.907 -4.0
2457818.4515335532 164.396 +19.822 -2.4
2457818.4515337846 164.569 +19.699 -4.0
2457818.4515340161 164.851 +19.614 -4.6
2457818.4515342475 165.054 +19.480 -5.7
2457818.4515344794 165.312 +19.414 -6.4
2457818.4515347108 165.534 +19.286 -7.0
2457818.4515349423 165.767 +19.203 -6.5
2457818.4515351737 166.017 +19.072 -6.2
2457818.4515354051 166.229 +19.008 -4.8
2457818.4515356366 166.424 +18.881 -4.6
2457818.4515358680 166.660 +18.769 -5.3
2457818.4515360994 166.803 +18.646 -3.7
2457818.4515363309 167.088 +18.546 -4.4
2457818.4515365623 167.163 +18.475 -3.7
2457818.4515367942 167.474 +18.355 -4.1
2457818.4515370256 167.597 +18.279 -2.6
2457818.4515372571 167.853 +18.135 -2.9
2457818.4515374885 168.033 +18.044 -5.2
2457818.4515377199 168.230 +17.943 -1.8
2457818.4515379514 168.474 +17.818 -3.7
2457818.4515381828 168.673 +17.752 -5.0
2457818.4515384142 168.885 +17.639 -3.1
2457818.4515386457 169.126 +17.532 -4.7
2457818.4515388771 169.318 +17.429 -3.8
2457818.4515391090 169.558 +17.340 -3.9
2457818.4515393404 169.814 +17.240 -4.3
2457818.4515395719 169.936 +17.135 -6.1
2457818.4515398033 170.182 +17.054 -5.4
2457818.4515400347 170.387 +16.950 -7.7
2457818.4515402662 170.546 +16.860 -7.3
2457818.4515404976 170.782 +16.724 -8.3
2457818.4515407290 170.906 +16.674 -3.9
2457818.4515409605 171.183 +16.589 -2.9
2457818.4515411919 171.218 +16.494 -4.8
2457818.4515414238 171.439 +16.351 -5.5
2457818.4515416552 171.604 +16.278 -4.8
2457818.4515418867 171.808 +16.155 -4.8
2457818.4515421181 172.108 +16.095 -2.0
2457818.4515423495 172.210 +15.974 -3.2
2457818.4515425810 172.504 +15.888 -0.7
2457818.4515428124 172.591 +15.796 -1.7
2457818.4515430438 172.842 +15.677 -0.2
2457818.4515432753 172.911 +15.597 -0.9
2457818.4515435072 173.161 +15.479 -0.1
2457818.4515437386 173.269 +15.431 -0.6
2457818.4515439700 173.492 +15.334 +9.7
2457818.4515442015 173.557 +15.236 -1.4
2457818.4515444329 173.812 +15.127 -0.1
2457818.4515446643 173.862 +15.048 -1.2
2457818.4515448958 174.128 +14.975 +9.7
2457818.4515451272 174.191 +14.877 -0.7
2457818.4515453586 174.394 +14.793 +9.4
2457818.4515455901 174.503 +14.718 -0.3
2457818.4515458220 174.719 +14.623 +0.4
2457818.4515460534 174.833 +14.530 -0.5
2457818.4515462848 175.054 +14.427 +9.5
2457818.4515465163 175.148 +14.381 +0.0
2457818.4515467477 175.380 +14.304 +9.4
2457818.4515469791 175.450 +14.216 +0.2
2457818.4515472106 175.682 +14.094 +9.5
2457818.4515474420 175.650 +14.052 +9.0
2457818.4515476734 175.877 +13.913 +8.9
2457818.4515479049 175.862 +13.870 +8.4
2457818.4515481368 176.147 +13.790 +9.3
2457818.4515483682 176.202 +13.776 +8.2
2457818.4515485996 176.428 +13.648 +8.9
2457818.4515488311 176.558 +13.645 +8.8
2457818.4515490625 176.756 +13.512 +9.2
2457818.4515492939 176.744 +13.441 +9.1
2457818.4515495254 176.987 +13.385 +7.8
2457818.4515497568 177.026 +13.283 +9.0
