,$v_0$ [m/s],$m_0$ [kg],$\log_{10}$($\rho$ [kg/m$^3$]),$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.2323,-0.6637,-0.5662,0.0737,-0.6536,0.4507,-0.2825,-0.2527,0.0693,-0.1169
$m_0$ [kg],0.2323,1.0000,-0.7864,0.4792,-0.4233,-0.7706,-0.3241,0.2801,0.1588,-0.0563,-0.0222
$\log_{10}$($\rho$ [kg/m$^3$]),-0.6637,-0.7864,1.0000,0.0359,0.3826,0.9359,-0.0807,-0.0403,-0.0081,0.0491,0.0397
$\sigma$ [kg/J],-0.5662,0.4792,0.0359,1.0000,-0.3553,0.0408,-0.5592,0.6326,0.2677,-0.0192,-0.0236
$h_e$ [m],0.0737,-0.4233,0.3826,-0.3553,1.0000,0.1709,0.0012,-0.4311,-0.0137,0.0837,-0.0822
$\log_{10}$($\eta$ [kg/J]),-0.6536,-0.7706,0.9359,0.0408,0.1709,1.0000,0.1201,0.1898,-0.0459,0.0390,0.0685
$s$,0.4507,-0.3241,-0.0807,-0.5592,0.0012,0.1201,1.0000,0.2066,0.0563,0.0515,-0.0911
$\log_{10}$($m_{l}$ [kg]),-0.2825,0.2801,-0.0403,0.6326,-0.4311,0.1898,0.2066,1.0000,0.1910,0.0074,-0.0698
$\log_{10}$($m_{u}$ [kg]),-0.2527,0.1588,-0.0081,0.2677,-0.0137,-0.0459,0.0563,0.1910,1.0000,-0.0611,-0.0535
$\sigma_{lag}$ [m],0.0693,-0.0563,0.0491,-0.0192,0.0837,0.0390,0.0515,0.0074,-0.0611,1.0000,-0.0042
$\sigma_{lum}$ [W],-0.1169,-0.0222,0.0397,-0.0236,-0.0822,0.0685,-0.0911,-0.0698,-0.0535,-0.0042,1.0000
