"Net","Sta","Lat [°]","Lon [°]","Elev [m]","Open","Rest.","Country","Station Name","Affiliation","Start","End","Info"
"7G","BB01","1.0400 N","127.4133 E","5","Yes","Yes","Indonesia","Saria","","2016","2018","details"
"7G","BB02","1.1600 N","127.4488 E","83","Yes","Yes","Indonesia","Tacim","","2016","2018","details"
"7G","BB03","1.0036 N","127.6427 E","22","Yes","Yes","Indonesia","Akelamo Kao","","2016","2018","details"
"7G","BB04","0.9140 N","127.5150 E","31","Yes","Yes","Indonesia","Domato","","2016","2018","details"
"7G","BB05","1.1866 N","127.8942 E","18","Yes","Yes","Indonesia","Jati","","2016","2018","details"
"7G","BB06","0.8894 N","127.3291 E","31","Yes","Yes","Indonesia","Togolobe","","2016","2018","details"
"7G","SP01","0.8284 N","127.3817 E","29","Yes","Yes","Indonesia","Tafure","","2016","2018","details"
"7G","SP02","0.8127 N","127.3799 E","0","Yes","Yes","Indonesia","North Sangaji","","2016","2018","details"
"7G","SP03","1.0539 N","127.4476 E","43","Yes","Yes","Indonesia","Bobanehena","","2016","2018","details"
"7G","SP04","1.0614 N","127.4666 E","20","Yes","Yes","Indonesia","Gufasa","","2016","2018","details"
"7G","SP05","1.0841 N","127.4699 E","24","Yes","Yes","Indonesia","Hate Bicara","","2016","2018","details"
"7G","SP06","1.1164 N","127.4818 E","26","Yes","Yes","Indonesia","Akediri","","2016","2018","details"
"7G","SP07","1.1420 N","127.4682 E","10","Yes","Yes","Indonesia","Idam Gamlamo","","2016","2018","details"
"7G","SP08","1.0806 N","127.4785 E","11","Yes","Yes","Indonesia","Porniti","","2016","2018","details"
"7G","SP09","1.1511 N","127.4339 E","19","Yes","Yes","Indonesia","Susupu","","2016","2018","details"
"7G","SP10","1.1468 N","127.4921 E","39","Yes","Yes","Indonesia","Aketola","","2016","2018","details"
"7G","SP11","1.1015 N","127.4671 E","7","Yes","Yes","Indonesia","Hoku Hoku Kie","","2016","2018","details"
"7G","SP12","1.1098 N","127.4275 E","26","Yes","Yes","Indonesia","Marimabati","","2016","2018","details"
"7G","SP13","1.0902 N","127.4141 E","124","Yes","Yes","Indonesia","Idamdehe Gamsungi","","2016","2018","details"
"7G","SP14","1.0515 N","127.4276 E","32","Yes","Yes","Indonesia","Payo","","2016","2018","details"
"7G","SP15","1.0614 N","127.4989 E","8","Yes","Yes","Indonesia","Todowongi","","2016","2018","details"
"7G","SP16","1.0714 N","127.5028 E","31","Yes","Yes","Indonesia","Bukumatiti","","2016","2018","details"
"7G","SP17","1.0144 N","127.5160 E","172","Yes","Yes","Indonesia","Guaeria","","2016","2018","details"
"7G","SP18","1.0124 N","127.4902 E","24","Yes","Yes","Indonesia","Matui","","2016","2018","details"
"7G","SP19","1.0078 N","127.4768 E","16","Yes","Yes","Indonesia","Guaeria","","2016","2018","details"
"7G","SP20","1.1005 N","127.4899 E","27","Yes","Yes","Indonesia","Tedeng","","2016","2018","details"
"7G","SP21","0.9751 N","127.5148 E","71","Yes","Yes","Indonesia","Buku Bualawa","","2016","2018","details"
"7G","SP22","0.9880 N","127.5182 E","111","Yes","Yes","Indonesia","Ulo","","2016","2018","details"
"7G","SP23","1.0414 N","127.4134 E","27","Yes","Yes","Indonesia","Saria","","2016","2018","details"
"7G","SP24","1.1094 N","127.4492 E","24","Yes","Yes","Indonesia","Lolori","","2016","2018","details"
"7G","SP25","1.1327 N","127.4806 E","27","Yes","Yes","Indonesia","Taraudu Kusu","","2016","2018","details"
"7G","SP26","0.7720 N","127.3668 E","63","Yes","Yes","Indonesia","Tabona","","2016","2018","details"
"7G","SP27","1.0533 N","127.4082 E","11","Yes","Yes","Indonesia","Bobo","","2016","2018","details"
"7G","SP28","0.9094 N","127.3148 E","44","Yes","Yes","Indonesia","Faudu","","2016","2018","details"
"7G","SP29","1.0889 N","127.4199 E","208","Yes","Yes","Indonesia","Idamdehe Gamsungi","","2016","2018","details"
"7H","CHOU","44.7896 N","5.5463 E","1800","Yes","Yes","Isere","Chamousset","Mouvements gravitaires (RESIF-SISMOB)","2010","2020","details"
"7H","COB","45.2649 N","6.3962 E","830","Yes","Yes","Savoie","Char d'osset","Mouvements gravitaires (RESIF-SISMOB)","2013","2020","details"
"7H","PBOU","46.3528 N","7.1782 E","1444","Yes","Yes","Suisse","Les Diablerets","Mouvements gravitaires (RESIF-SISMOB)","2011","2020","details"
"AB","GANJ","40.6519 N","46.3297 E","560","Yes","No","Azerbaijan","Ganja","National Seismic network of Azerbaijan","2003","-","details"
"AB","QZX","41.0480 N","45.3720 E","574","Yes","No","Azerbaijan","Qazah","National Seismic Network of Azerbaijan","2010","-","details"
"AB","ZKT","41.6400 N","46.6300 E","508","Yes","No","Azerbaijan","Zakatala","National Seismic Network of Azerbaijan","2009","-","details"
"AC","KBN","40.6236 N","20.7874 E","800","Yes","No","","","","2016","-","details"
"AC","PUK","42.0426 N","19.8926 E","900","Yes","No","","","","2009","-","details"
"AC","SRN","39.8800 N","20.0005 E","20","Yes","No","","","","2003","-","details"
"AC","VLO","40.4686 N","19.4955 E","80","Yes","No","","","","2004","-","details"
"AI","BELA","77.8750 S","34.6269 W","262","Yes","No","","Belgrano II Argentinean Antarctic Base","Antarctic Seismographic Argentinean Italian Networ","2009","-","details"
"AI","ESPZ","63.3981 S","56.9964 W","31","Yes","No","ANTARCTIC PENINSULA","BASE ESPERANZA","Antarctic Seismographic Argentinean Italian N","2005","-","details"
"AI","JUBA","62.2373 S","58.6627 W","16","Yes","No","SOUTH SHETLAND ISLANDS","JUBANY","Antarctic Seismographic Argentinean Italian N","2001","-","details"
"AI","ORCD","60.7381 S","44.7361 W","20","Yes","No","SOUTH ORKNEY ISLANDS","ORCADAS","Antarctic Seismographic Argentinean Italian N","1997","-","details"
"AI","SMAI","68.1302 S","67.1059 W","9","Yes","No","ANTARCTIC PENINSULA","SAN MARTIN ANTARCTIC BASE","Antarctic Seismographic Argentinean Italian N","2007","-","details"
"AW","VNA1","70.6900 S","8.2760 W","55","Yes","No","Antarctica","Neumayer OBS","","2006","-","details"
"AW","VNA2","70.9250 S","7.3930 W","442","Yes","No","Antarctica","Neumayer Watz-Array Centre","","2006","-","details"
"AW","VNA3","71.2420 S","9.6660 W","566","Yes","No","Antarctica","Neumayer Olymp","","2006","-","details"
"AW","VNAA1","70.9240 S","7.3929 W","395","Yes","No","Antarctica","Neumayer Watz-Array A1","","2006","-","details"
"AW","VNAA2","70.9264 S","7.3878 W","389","Yes","No","Antarctica","Neumayer Watz-Array A2","","2006","-","details"
"AW","VNAA3","70.9262 S","7.3979 W","383","Yes","No","Antarctica","Neumayer Watz-Array A3","","2006","-","details"
"AW","VNAB1","70.9221 S","7.3862 W","386","Yes","No","Antarctica","Neumayer Watz-Array B1","","2006","-","details"
"AW","VNAB2","70.9266 S","7.3818 W","388","Yes","No","Antarctica","Neumayer Watz-Array B2","","2006","-","details"
"AW","VNAB3","70.9277 S","7.3927 W","383","Yes","No","Antarctica","Neumayer Watz-Array B3","","2006","-","details"
"AW","VNAB4","70.9266 S","7.4042 W","388","Yes","No","Antarctica","Neumayer Watz-Array B4","","2006","-","details"
"AW","VNAB5","70.9222 S","7.4001 W","394","Yes","No","Antarctica","Neumayer Watz-Array B5","","2006","-","details"
"AW","VNAC1","70.9177 S","7.3831 W","388","Yes","No","Antarctica","Neumayer Watz-Array C1","","2006","-","details"
"AW","VNAC2","70.9232 S","7.3683 W","389","Yes","No","Antarctica","Neumayer Watz-Array C2","","2006","-","details"
"AW","VNAC3","70.9302 S","7.3724 W","388","Yes","No","Antarctica","Neumayer Watz-Array C3","","2006","-","details"
"AW","VNAC4","70.9336 S","7.3917 W","380","Yes","No","Antarctica","Neumayer Watz-Array C4","","2006","-","details"
"AW","VNAC5","70.9309 S","7.4121 W","382","Yes","No","Antarctica","Neumayer Watz-Array C5","","2006","-","details"
"AW","VNAC6","70.9239 S","7.4182 W","388","Yes","No","Antarctica","Neumayer Watz-Array C6","","2006","-","details"
"AW","VNAC7","70.9180 S","7.4052 W","395","Yes","No","Antarctica","Neumayer Watz-Array C7","","2006","-","details"
"BA","PZUN","40.6458 N","15.8070 E","820","Yes","No","","","","2008","-","details"
"BE","BEBN","50.7970 N","5.6778 E","80","Yes","No","Belgium","Eben-Emael","Belgian Seismic Network","2005","-","details"
"BE","BOST","51.2382 N","2.9387 E","3","Yes","No","Belgium","Oostende","Belgian Seismic Network","2014","-","details"
"BE","MEM","50.6092 N","6.0067 E","250","Yes","No","BELGIUM","MEMBACH","Belgian Seismic Network","2006","-","details"
"BE","RCHB","50.1560 N","5.2280 E","191","Yes","No","BELGIUM","ROCHEFORT","Belgian Seismic Network","2015","-","details"
"BE","UCC","50.7972 N","4.3604 E","100","Yes","No","Belgium","Uccle","Belgian Seismic Network","1998","-","details"
"BN","EKB","55.3400 N","3.1800 W","356","Yes","No","","ESKDALEMUIR","UK-Net, Blacknest Array","1983","-","details"
"BN","LLW","52.8492 N","3.6650 W","213","Yes","No","UK","Llanuwchllyn","UK-Net, Blacknest Array","2010","-","details"
"BN","LPW","52.1136 N","4.0681 W","152","Yes","No","UK","Lampeter","UK-Net, Blacknest Array","1981","-","details"
"BN","SBD","50.5653 N","4.6856 W","220","Yes","No","","SAINT BREWARD","UK-Net, Blacknest Array","1983","-","details"
"BN","WOL","51.3100 N","1.2200 W","0","Yes","No","","WOLVERTON","UK-Net, Blacknest Array","1981","-","details"
"BS","BLKB","43.6227 N","22.6750 E","650","Yes","No","","Belogradchik","Bulgaria Seismic Network","2012","-","details"
"BS","DOBAM","43.5811 N","27.8310 E","246","Yes","No","","Dobrich","Bulgaria Seismic Network","2012","-","details"
"BS","ELND","42.9287 N","25.8751 E","334","Yes","No","","Elena","Bulgaria Seismic Network","2012","-","details"
"BS","JMB","42.4670 N","26.5830 E","216","Yes","No","BULGARIA","YAMBOL","Bulgaria Seismic Network","2004","-","details"
"BS","KALB","43.4059 N","28.4162 E","121","Yes","No","","Balgarevo","Bulgaria Seismic Network","2012","-","details"
"BS","KOZAM","43.8274 N","23.2364 E","760","Yes","No","","Kozlodui","Bulgaria Seismic Network","2012","-","details"
"BS","KUBB","43.8024 N","26.4941 E","261","Yes","No","","Kubrat","Bulgaria Seismic Network","2012","-","details"
"BS","LOZB","43.3701 N","26.5930 E","342","Yes","No","","Loznitsa","Bulgaria Seismic Network","2012","-","details"
"BS","MALO","43.3559 N","23.7402 E","370","Yes","No","","Malo","Bulgaria Seismic Network","2013","-","details"
"BS","MNNAM","43.4111 N","23.2262 E","0","Yes","No","","Montana","Bulgaria Seismic Network","2012","-","details"
"BS","PLVAM","43.9523 N","22.8502 E","880","Yes","No","","Vidin","Bulgaria Seismic Network","2012","-","details"
"BS","PLVB","43.3870 N","24.6207 E","199","Yes","No","","Pleven","Bulgaria Seismic Network","2012","-","details"
"BS","RAZAM","43.6451 N","25.1243 E","820","Yes","No","","Belene","Bulgaria Seismic Network","2012","-","details"
"BS","RAZG","43.5662 N","26.5079 E","383","Yes","No","","Razgrad","Bulgaria Seismic Network","2012","-","details"
"BS","RUSAM","43.8462 N","25.9612 E","0","Yes","No","","Ruse","Bulgaria Seismic Network","2012","-","details"
"BS","SHAB","43.5389 N","28.6057 E","430","Yes","No","","Sabla","Bulgaria Seismic Network","2012","-","details"
"BS","SILAM","44.1046 N","27.2665 E","840","Yes","No","","Silistra","Bulgaria Seismic Network","2012","-","details"
"BS","VETAM","43.0805 N","25.6367 E","224","Yes","No","","Veliko Tarnovo","Bulgaria Seismic Network","2012","-","details"
"BW","ALTM","48.9952 N","11.5199 E","430","Yes","No","BW-Net","Beilngries","BayernNetz","2010","-","details"
"BW","BE1","47.9108 N","11.2213 E","746","Yes","No","BW-Net","Monatshausen","BayernNetz","2015","-","details"
"BW","BGLD","47.6524 N","13.0125 E","930","Yes","No","BW-Net","Berchtesgaden","BayernNetz","2007","-","details"
"BW","FFB1","48.1629 N","11.2751 E","572","Yes","No","","FUR Borehole","BayernNetz","2015","-","details"
"BW","FFB2","48.1644 N","11.2737 E","577","Yes","No","Borehole","Romy","BayernNetz","2015","-","details"
"BW","FFB3","48.1649 N","11.2763 E","562","Yes","No","Borehole","Romy","BayernNetz","2015","-","details"
"BW","HROE","50.5366 N","10.1573 E","569","Yes","No","BW-Net","Hohe Roehn","BayernNetz","2006","-","details"
"BW","KW1","48.1219 N","12.5972 E","514","Yes","No","BW-Net","Garching","BayernNetz","2015","-","details"
"BW","LAEN","50.1828 N","12.1859 E","675","Yes","No","BW-Net","Laengenau","BayernNetz","2017","-","details"
"BW","MANZ","49.9862 N","12.1083 E","635","Yes","No","BW-Net","Manzenberg","BayernNetz","2015","-","details"
"BW","MASC","47.6970 N","13.0467 E","480","Yes","No","BW-Net","E-Werk Marktschellenberg","BayernNetz","2011","-","details"
"BW","MGBB","49.9720 N","12.2150 E","650","Yes","No","BW-Net","Grossbuechelb","BayernNetz","2007","-","details"
"BW","MGS04","47.9797 N","11.7188 E","615","Yes","No","BW-Net","Faistenhaar","BayernNetz","2016","-","details"
"BW","MKON","50.0186 N","12.2338 E","614","Yes","No","BW-Net","Konnersreuth","BayernNetz","2009","-","details"
"BW","MROB","50.0831 N","12.1786 E","570","Yes","No","BW-Net","Rosenbuehl","BayernNetz","2006","-","details"
"BW","MSBB","50.0314 N","11.9728 E","622","Yes","No","BW-Net","Schoenbrunner","BayernNetz","2007","-","details"
"BW","MZEK","49.9626 N","11.9474 E","627","Yes","No","BW-Net","Zeckenberg","BayernNetz","2008","-","details"
"BW","NORI","48.7203 N","10.6250 E","480","Yes","No","BW-Net","Bissingen","BayernNetz","2009","-","details"
"BW","NZC2","43.5764 S","172.6231 E","55","Yes","No","Christchurch","VLaser","BayernNetz","2007","-","details"
"BW","NZG0","43.5764 S","172.6231 E","55","Yes","No","Christchurch","VLaser","BayernNetz","2007","-","details"
"BW","OBER","47.4070 N","10.2934 E","0","Yes","No","BW-Net","Oberstorf","BayernNetz","2011","-","details"
"BW","PART","47.4972 N","11.1131 E","760","Yes","No","BW-Net","Partenkirchen","BayernNetz","2012","-","details"
"BW","PFORL","33.6100 N","116.4500 W","1280","Yes","No","BW-Net","RingLaser","BayernNetz","2013","-","details"
"BW","RJOB","47.7372 N","12.7957 E","860","Yes","No","BW-Net","Jochberg","BayernNetz","2015","-","details"
"BW","RLAS","49.1460 N","12.8760 E","608","Yes","No","BW-Net","RingLaser","BayernNetz","2010","-","details"
"BW","RMOA","47.7617 N","12.8645 E","815","Yes","No","BW-Net","Moar Alm","BayernNetz","2017","-","details"
"BW","RNON","47.7405 N","12.8671 E","555","Yes","No","BW-Net","Nonn","BayernNetz","2017","-","details"
"BW","ROTZ","49.7669 N","12.2070 E","430","Yes","No","BW-Net","Rotzenmuhle","BayernNetz","2015","-","details"
"BW","RTBE","47.7451 N","12.8241 E","1162","Yes","No","BW-Net","Buergeleck","BayernNetz","2017","-","details"
"BW","RTSA","47.7683 N","12.8417 E","1066","Yes","No","BW-Net","Steiner Alm","BayernNetz","2012","-","details"
"BW","RTSH","47.7545 N","12.8499 E","1638","Yes","No","BW-Net","Staufenhaus","BayernNetz","2010","-","details"
"BW","RWMO","47.7442 N","12.7299 E","763","Yes","No","BW-Net","Wildenmoos","BayernNetz","2006","-","details"
"BW","SCE","47.0378 N","11.7090 E","1730","Yes","No","BW-Net","Schlegeis","BayernNetz","2015","-","details"
"BW","UH1","48.0815 N","11.6361 E","500","Yes","No","BW-Net","Unterhaching Uni","BayernNetz","2010","-","details"
"BW","UH2","48.0581 N","11.6822 E","500","Yes","No","BW-Net","Riemerling","BayernNetz","2011","-","details"
"BW","UH3","48.0308 N","11.6388 E","570","Yes","No","BW-Net","Wasserwerk Taufk","BayernNetz","2010","-","details"
"BW","UH4","48.0323 N","11.5356 E","615","Yes","No","BW-Net","Gruenwald","BayernNetz","2010","-","details"
"BW","UH5","48.0258 N","11.5975 E","580","Yes","No","BW-Net","Oberhaching","BayernNetz","2013","-","details"
"BW","VIEL","50.1856 N","12.1028 E","670","Yes","No","BW-Net","Vielitz","BayernNetz","2006","-","details"
"BW","WETR","49.1450 N","12.8757 E","607","Yes","No","BW-Net","Wettzell","BayernNetz","2012","-","details"
"BW","ZUGS","47.4163 N","10.9788 E","2650","Yes","No","BW-Net","Schneeferner","BayernNetz","2017","-","details"
"C4","CERN1","46.2359 N","6.0548 E","356","Yes","No","Switzerland","CERN","","2017","-","details"
"C4","CERN5","46.3099 N","6.0761 E","418","Yes","No","France","CERN","","2017","-","details"
"C4","CERNS","46.2669 N","6.0662 E","463","Yes","No","France","CERN","","2017","-","details"
"CA","CADI","42.3402 N","1.8412 E","1207","Yes","No","SPAIN","TUNEL DEL CADI","Catalan Seismic Network","2004","-","details"
"CA","CBRU","42.2855 N","2.1803 E","1327","Yes","No","SPAIN","BRUGUERA","Catalan Seismic Network","2000","2035","details"
"CA","COBS","40.7141 N","1.3573 E","0","Yes","No","Spain","Casablanca","Catalan Seismic Network","2011","2035","details"
"CA","CSOR","42.3756 N","1.1339 E","1227","Yes","No","SPAIN","SORT","Catalan Seismic Network","2000","2020","details"
"CA","CTRE","42.3242 N","0.7736 E","1318","Yes","No","SPAIN","TREMP","Catalan Seismic Network","2006","2035","details"
"CA","EBR","40.8202 N","0.4939 E","36","Yes","No","","Ebre","CA","2016","-","details"
"CA","FBR","41.4164 N","2.1250 E","405","Yes","No","SPAIN","FABRA","Catalan Seismic Network","2002","-","details"
"CA","POBL","41.3793 N","1.0847 E","550","Yes","No","SPAIN","MONESTIR POBLET","Catalan Seismic Network","1985","-","details"
"CH","ACB","47.5877 N","8.2547 E","468","Yes","No","Switzerland","Klingnau","Swiss Seismological Service, NAGRA","1983","-","details"
"CH","AIGLE","46.3418 N","6.9530 E","785","Yes","No","Switzerland","Aigle","Swiss Seismological Service","1998","-","details"
"CH","BALST","47.3358 N","7.6950 E","863","Yes","No","Switzerland","Balsthal","Swiss Seismological Service","2000","-","details"
"CH","BERGE","47.8716 N","8.1780 E","963","Yes","No","Germany","Lenzkirch","Swiss Seismological Service","2012","-","details"
"CH","BERNI","46.4136 N","10.0231 E","2311","Yes","No","Switzerland","Berninapass","Swiss Seismological Service","1998","-","details"
"CH","BIBA","46.3025 N","7.9304 E","660","Yes","No","Switzerland","Brigerbad","Swiss Seismological Service","2009","-","details"
"CH","BNALP","46.8703 N","8.4249 E","1549","Yes","No","Switzerland","Bannalp","Swiss Seismological Service","1998","-","details"
"CH","BOBI","47.5463 N","8.3398 E","570","Yes","No","Switzerland","Boebikon","Swiss Seismological Service","2013","-","details"
"CH","BOURR","47.3936 N","7.2301 E","847","Yes","No","Switzerland","Bourrignon","Swiss Seismological Service","1998","-","details"
"CH","BRANT","46.9380 N","6.4730 E","1145","Yes","No","Switzerland","Les Verrieres","Swiss Seismological Service","2002","-","details"
"CH","DAGMA","47.2309 N","8.0125 E","560","Yes","No","Switzerland","Dagmersellen","Swiss Seismological Service","2013","-","details"
"CH","DAVOX","46.7805 N","9.8795 E","1830","Yes","No","Switzerland","Davos","Swiss Seismological Service","2002","-","details"
"CH","DIX","46.0811 N","7.4084 E","2370","Yes","No","Switzerland","Grande Dixence","Swiss Seismological Service","1976","-","details"
"CH","EMBD","46.2165 N","7.8322 E","1180","Yes","No","Switzerland","Mattertal","Swiss Seismological Service","2009","-","details"
"CH","EMING","47.8952 N","8.8468 E","619","Yes","No","Germany","Emmingen","Swiss Seismological Service","2013","-","details"
"CH","EMMET","47.4376 N","8.0136 E","740","Yes","No","Switzerland","Emmethof","Swiss Seismological Service","2012","-","details"
"CH","EWZT0","47.3668 N","8.4968 E","462","Yes","No","Switzerland","Zuerich","Swiss Seismological Service","2009","-","details"
"CH","FIESA","46.4352 N","8.1105 E","2340","Yes","No","Switzerland","Fiescheralp","Swiss Seismological Service","2009","-","details"
"CH","FLACH","47.5724 N","8.5679 E","412","Yes","No","Switzerland","Flaach","Swiss Seismological Service","2003","-","details"
"CH","FULLY","46.1563 N","7.1358 E","603","Yes","No","Switzerland","Mazembroz","Swiss Seismological Service","2018","-","details"
"CH","FUORN","46.6203 N","10.2636 E","2286","Yes","No","Switzerland","Ofenpass-Fuorn","Swiss Seismological Service","2000","-","details"
"CH","FUSIO","46.4548 N","8.6629 E","1460","Yes","No","Switzerland","Fusio","Swiss Seismological Service","1999","-","details"
"CH","GIMEL","46.5336 N","6.2655 E","1094","Yes","No","Switzerland","St. Georges, Gimel","Swiss Seismological Service","1999","-","details"
"CH","GRIMS","46.5781 N","8.3189 E","1746","Yes","No","Switzerland","Grimsel","Swiss Seismological Service","2011","-","details"
"CH","GRYON","46.2505 N","7.1111 E","1300","Yes","No","Switzerland","Gryon","Swiss Seismological Service","2002","-","details"
"CH","HAMIK","47.2451 N","8.2706 E","677","Yes","No","Switzerland","Haemikon","Swiss Seismological Service","2013","-","details"
"CH","HASLI","46.7568 N","8.1512 E","1280","Yes","No","Switzerland","Hasliberg","Swiss Seismological Service","1999","-","details"
"CH","ILLEZ","46.2193 N","6.9404 E","1395","Yes","No","Switzerland","Chalet Vouargne Bourlo","Swiss Seismological Service","2017","-","details"
"CH","LAUCH","46.4155 N","7.7717 E","2160","Yes","No","Switzerland","Lauchernalp - Loetschental","Swiss Seismological Service","2010","-","details"
"CH","LAVEY","46.2000 N","7.0231 E","421","Yes","No","Switzerland","Lavey les Bains","Swiss Seismological Service","2017","-","details"
"CH","LIENZ","47.2946 N","9.4927 E","1720","Yes","No","Switzerland","Kamor","Swiss Seismological Service","2004","-","details"
"CH","LKBD2","46.3746 N","7.6443 E","2128","Yes","No","Switzerland","Leukerbad","Swiss Seismological Service","2001","-","details"
"CH","LLS","46.8468 N","9.0082 E","1860","Yes","No","Switzerland","Linth-Limmern","Swiss Seismological Service","1978","-","details"
"CH","METMA","47.7122 N","8.2526 E","671","Yes","No","Germany","Mettma","Swiss Seismological Service","2013","-","details"
"CH","MMK","46.0507 N","7.9641 E","2200","Yes","No","Switzerland","Mattmark","Swiss Seismological Service","1981","-","details"
"CH","MTI01","47.3791 N","7.1654 E","514","Yes","No","Switzerland","Mont Terri","Swiss Seismological Service","2014","-","details"
"CH","MTI02","47.3793 N","7.1652 E","508","Yes","No","Switzerland","Mont Terri","Swiss Seismological Service","2014","-","details"
"CH","MUGIO","45.9219 N","9.0417 E","830","Yes","No","Switzerland","Muggio","Swiss Seismological Service","2001","-","details"
"CH","MUO","46.9676 N","8.6371 E","1920","Yes","No","Switzerland","Muotathal","Swiss Seismological Service","1981","-","details"
"CH","NALPS","46.5951 N","8.7483 E","2346","Yes","No","Switzerland","Val Nalps","Swiss Seismological Service","2011","-","details"
"CH","OTER1","47.5777 N","7.6037 E","252","Yes","No","Switzerland","Otterbach","Swiss Seismological Service","2006","-","details"
"CH","OTTER","47.5778 N","7.6038 E","298","Yes","No","Switzerland","Otterbach","Swiss Seismological Service","2006","-","details"
"CH","PANIX","46.8257 N","9.1117 E","1433","Yes","No","Switzerland","Lag da Pigniu","Swiss Seismological Service","2011","-","details"
"CH","PLONS","47.0492 N","9.3808 E","1022","Yes","No","Switzerland","Plons","Swiss Seismological Service","2002","-","details"
"CH","ROMAN","47.5643 N","9.3360 E","442","Yes","No","Switzerland","Romanshorn","Swiss Seismological Network","2015","-","details"
"CH","ROTHE","47.4761 N","7.9209 E","681","Yes","No","Switzerland","Rothenfluh","Swiss Seismological Service","2013","-","details"
"CH","SAIG","46.3172 N","6.9666 E","415","Yes","No","Switzerland","Aigle","Swiss Seismological Service","2012","-","details"
"CH","SAIRA","47.3027 N","7.0864 E","966","Yes","No","Switzerland","Les Sairains Dessus","Swiss Seismological Service","2011","-","details"
"CH","SALAN","46.1442 N","6.9730 E","1881","Yes","No","Switzerland","Lac Salanfe","Swiss Seismological Service","2001","-","details"
