1,Abakan,ABNR,ABN,KRAR,29.10.2003,,53.725,91.435,125,
2,Avacha,AVH,AVH,KAGSR,16.01.1963,,53.264,158.74,942,
3,Aktash,AKAR,АКAR,ASGSR,25.09.1985,02.01.2001,50.325,87.621,1421,
4,Alaid,ALID,ALD,KAGSR,08.08.2001,,50.876,155.552,1400,
5,Aldan,ALDR,ALD,YAGSR,01.10.1999,,58.61,125.41,662,
6,Alexandrovskoye,ALER,ALER,KMGSR,13.10.2012,,44.763,42.914,510,
7,Alexeevka,ALXA,ALXA,ASGSR,28.02.2012,,54.93,82.587,133,
8,Amderma,AMDE,AMD,FCIAR,01.11.2010,,69.761,61.678,48,
9,Anadyr,ANDR,ANDR,NEGSR,24.01.2003,,64.734,177.496,70,
10,Anapa,ANN,-,OBGSR,07.03.1968,,44.881,37.314,58,
11,Andozero,-,ADZR,OBGSR,06.11.2015,,63.93,38.285,51,
12,Anzhero-Sudzhensk-1,ASR1,ASR1,ASGSR,22.02.2011,,56.068,85.991,262,
13,Apatity ARRAY,APA0,APO,KOGSR,01.10.1992,,67.606,32.992,240,
14,Apatity,APA,APA,KOGSR,01.07.1956,,67.569,33.405,182,
15,Apacha,APC,APC,KAGSR,24.02.1990,,52.926,157.133,120,
16,Aradan,ARDR,ARDR,ASGSR,06.08.1992,,52.58,93.428,958,
17,Arakany,ARKR,ARK,DAGSR,08.02.1989,,42.602,46.994,760,
18,Ardon,ARNR,AD2,NOGSR,24.10.2003,28.10.2008,43.18,44.284,420,
19,Arik,KRX,KRX,KAGSR,19.08.2009,,53.359,158.649,1410,
20,Arti,ARU,-,OBGSR,01.11.1970,27.09.2009,56.429,58.562,260,
21,Artibash,ARTR,ART,ASGSR,26.07.1980,,51.798,87.281,511,
22,Artyk,ATKR,ATK,YAGSR,04.07.1988,,64.181,145.133,700,
23,Arkhangelsk,ARHR,ARHR,FCIAR,06.09.2002,,64.551,40.515,23,
24,Arkhyz,ARXR,ARXR,KMGSR,17.11.2006,,43.562,41.275,1501,
25,Arshan,ARS,AРШ,BAGSR,02.10.1960,,51.92,102.421,946,
26,Asacha,ASAK,ASA,KAGSR,01.12.2008,,52.385,157.901,920,
27,Akhmetovskaya,AHMR,AHMR,OBGSR,19.10.2012,,44.158,41.044,640,
28,Akhty,AKT,AHT,DAGSR,04.06.1974,,41.479,47.715,1115,
29,Baidarnaya,BDR,BDR,KAGSR,08.10.2005,,56.568,161.208,720,
30,Balakhonka,BALAH,BALAH,ASGSR,29.12.2014,,55.611,86.017,172,
31,Barentsburg A,BRBA,BRBA,KOGSR,01.01.2001,,78.059,14.217,58,
32,Barentsburg B,BRBB,BRBB,KOGSR,01.01.2001,,78.094,14.208,80,
33,Batagay,BTGS,BTG,YAGSR,12.03.1975,,67.656,134.625,127,
34,Batakauyrt,BTKR,BTK,NOGSR,02.12.2005,,43.372,44.542,595,
35,Bachatskii-1,BJR1,BJR1,ASGSR,01.12.2014,,54.238,86.04,363,
36,Bachatskii-2,BJR2,BJR2,ASGSR,27.11.2014,,54.281,86.127,301,
37,Bachatskii-3,BJR3,BJR3,ASGSR,05.12.2014,,54.225,86.156,226,
38,Bachatskii-4,BJR4,BJR4,ASGSR,03.12.2014,,54.301,86.275,221,
