# Shower lookup table measured using GMN data up to May 18, 2023
# Using the wmpl.Utils.ShowerTableMeasurement script in WMPL
# 
# The table is sampled at 0.2 deg solar longitude. The SCE (Sun-centered 
# ecliptic) longitude is the ecliptic longitude minus the solar 
# longitude. The "Disp" column is the measured dispersion which changes 
# over time. A meteor is considered a shower member if it has been observed 
# within 1 deg of solar longitude of a table entry, within 10% of Vg, and
# within the listed dispersion.
#
# IAU showers not present in the table:
# XRI, BIN, OSE, NDD, LOP, FSO, DRG, MXA, HNJ, FCL, LAP, NMV, AAC, VOL, ZPH, 
# ILU, EGR, TPG, JDP, ODS, CRN, OEV, TSC, MBA, BEC, AST, ZPA, EVO, NMD, JMD, 
# OAB, SEC, FVI, AGE, ATH, OVI, PPE, FBO, OMH, 
# 
# Sol  SCE lon  SCE lat       Vg  Disp  IAU IAU
# deg      deg      deg     km/s  deg    No  cd
# 
  0.0  185.626    5.399   26.422  3.32   11 EVI
  0.0  283.823  -76.822   36.524  3.40  130 DME
  0.0  267.184   70.950   35.018  4.38  346 XHE
  0.0  211.251    6.097   40.278  3.00  448 AAL
  0.0  262.713   33.622   61.462  4.65  599 POS
  0.0  176.904   25.054   27.466  2.42  647 BCO
  0.0  265.710   23.571   66.235  4.05  648 TAL
  0.0  205.718   -4.752   38.820  3.55  750 SMV
  0.0  325.627   19.755   49.051  2.18  792 MBE
  0.0  240.441   12.938   63.232  3.35  862 SSR
  0.0  262.189    6.592   70.820  2.71  893 EOP
  0.2  185.541    5.415   26.372  3.31   11 EVI
  0.2  283.785  -76.822   36.538  3.37  130 DME
  0.2  267.621   70.956   35.028  4.38  346 XHE
  0.2  211.242    6.078   40.289  3.00  448 AAL
  0.2  262.726   33.616   61.460  4.61  599 POS
  0.2  176.870   25.134   27.455  2.42  647 BCO
  0.2  265.707   23.579   66.227  4.05  648 TAL
  0.2  205.692   -4.747   38.808  3.55  750 SMV
  0.2  325.549   19.770   49.052  2.23  792 MBE
  0.2  240.435   12.931   63.235  3.36  862 SSR
  0.2  262.141    6.592   70.820  2.64  893 EOP
  0.4  185.457    5.430   26.323  3.29   11 EVI
  0.4  283.747  -76.822   36.553  3.33  130 DME
  0.4  268.058   70.963   35.038  4.38  346 XHE
  0.4  211.233    6.059   40.299  3.00  448 AAL
  0.4  262.738   33.610   61.459  4.57  599 POS
  0.4  176.835   25.214   27.444  2.43  647 BCO
  0.4  265.704   23.587   66.220  4.05  648 TAL
  0.4  205.665   -4.742   38.796  3.55  750 SMV
  0.4  325.471   19.786   49.052  2.27  792 MBE
  0.4  240.429   12.923   63.238  3.37  862 SSR
  0.4  262.092    6.592   70.821  2.58  893 EOP
  0.6  185.372    5.445   26.274  3.27   11 EVI
  0.6  283.710  -76.822   36.567  3.30  130 DME
  0.6  268.495   70.969   35.048  4.38  346 XHE
  0.6  211.223    6.040   40.310  3.02  448 AAL
  0.6  262.751   33.605   61.457  4.54  599 POS
  0.6  176.801   25.294   27.433  2.45  647 BCO
  0.6  265.701   23.595   66.212  4.05  648 TAL
  0.6  205.639   -4.737   38.784  3.56  750 SMV
  0.6  325.393   19.801   49.053  2.32  792 MBE
  0.6  240.423   12.916   63.241  3.38  862 SSR
  0.6  262.044    6.592   70.822  2.51  893 EOP
  0.8  185.287    5.460   26.225  3.25   11 EVI
  0.8  283.672  -76.822   36.581  3.27  130 DME
  0.8  268.932   70.975   35.058  4.38  346 XHE
  0.8  211.214    6.021   40.321  3.03  448 AAL
  0.8  262.763   33.599   61.455  4.50  599 POS
  0.8  176.767   25.374   27.422  2.47  647 BCO
  0.8  265.698   23.603   66.204  4.05  648 TAL
  0.8  205.612   -4.731   38.772  3.56  750 SMV
  0.8  325.315   19.816   49.054  2.36  792 MBE
  0.8  240.417   12.909   63.243  3.39  862 SSR
  0.8  261.996    6.592   70.823  2.44  893 EOP
  1.0  185.202    5.476   26.176  3.24   11 EVI
  1.0  283.634  -76.821   36.596  3.23  130 DME
  1.0  269.369   70.982   35.069  4.38  346 XHE
  1.0  211.204    6.002   40.331  3.05  448 AAL
  1.0  262.776   33.593   61.454  4.47  599 POS
  1.0  176.732   25.454   27.411  2.49  647 BCO
  1.0  265.695   23.611   66.196  4.05  648 TAL
  1.0  205.586   -4.726   38.759  3.56  750 SMV
  1.0  325.237   19.831   49.054  2.41  792 MBE
  1.0  240.411   12.901   63.246  3.40  862 SSR
  1.0  261.947    6.592   70.824  2.37  893 EOP
  1.2  185.117    5.491   26.127  3.22   11 EVI
  1.2  283.596  -76.821   36.610  3.20  130 DME
  1.2  269.806   70.988   35.079  4.38  346 XHE
  1.2  211.195    5.983   40.342  3.07  448 AAL
  1.2  262.789   33.588   61.452  4.43  599 POS
  1.2  176.698   25.534   27.400  2.51  647 BCO
  1.2  265.692   23.619   66.189  4.05  648 TAL
  1.2  205.560   -4.721   38.747  3.56  750 SMV
  1.2  325.158   19.846   49.055  2.45  792 MBE
  1.2  240.405   12.894   63.249  3.41  862 SSR
  1.2  261.899    6.593   70.825  2.31  893 EOP
  1.4  185.032    5.506   26.078  3.20   11 EVI
  1.4  283.559  -76.821   36.625  3.17  130 DME
  1.4  270.243   70.994   35.089  4.38  346 XHE
  1.4  211.186    5.964   40.353  3.09  448 AAL
  1.4  262.801   33.582   61.450  4.39  599 POS
  1.4  176.664   25.615   27.389  2.53  647 BCO
  1.4  265.689   23.627   66.181  4.05  648 TAL
  1.4  205.533   -4.716   38.735  3.56  750 SMV
  1.4  325.080   19.861   49.056  2.50  792 MBE
  1.4  240.399   12.887   63.251  3.42  862 SSR
  1.4  261.851    6.593   70.825  2.24  893 EOP
  1.6  184.947    5.521   26.029  3.19   11 EVI
  1.6  295.768   60.583   43.699  5.34   40 ZCY
  1.6  283.521  -76.821   36.639  3.13  130 DME
  1.6  270.680   71.001   35.099  4.38  346 XHE
  1.6  211.176    5.945   40.364  3.10  448 AAL
  1.6  262.814   33.576   61.449  4.36  599 POS
  1.6  176.630   25.695   27.378  2.55  647 BCO
  1.6  265.686   23.635   66.173  4.05  648 TAL
  1.6  205.507   -4.711   38.723  3.56  750 SMV
  1.6  325.002   19.877   49.057  2.55  792 MBE
  1.6  240.392   12.879   63.254  3.43  862 SSR
  1.6  261.802    6.593   70.826  2.17  893 EOP
  1.8  184.862    5.537   25.980  3.17   11 EVI
  1.8  295.776   60.562   43.694  5.34   40 ZCY
  1.8  283.483  -76.821   36.653  3.10  130 DME
  1.8  271.117   71.007   35.109  4.38  346 XHE
  1.8  211.167    5.926   40.374  3.12  448 AAL
  1.8  262.826   33.571   61.447  4.32  599 POS
