1|1|0|CAP|alpha Capricornids                      | annual |1|128.9|306.6|-8.2|0.54|0.26|22.2|2.618|0.602|       |266.67|128.9|7.68|36|0|0|169P/NEAT (= 2002 EX12)                 |                                                                                                                                                      |    |1) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A>
2|1|1|CAP|alpha Capricornids                      | annual |1|122.3|306.7|-9.3|0.91|0.25|23.4|       |0.55|0.768|273.3|122.3|7.7|269|0|0|169P/NEAT (= 2002 EX12)                 |                                                                                                                                                      |R   |2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A>
3|1|2|CAP|alpha Capricornids                      | annual |1|123.8|303.4|-10.6|0.75|0.28|22.2|2.54|0.594|       |267.6|123.8|7.2|     |0|0|169P/NEAT (= 2002 EX12)                 |                                                                                                                                                      |P   |3) <A href='http://adsabs.harvard.edu/abs/2001ESASP.495...55H' target=_blank>Hasegawa, 2001</A>
4|1|3|CAP|alpha Capricornids                      | annual |1|129|308.4|-9.6|0.9|0.3|22.8|2.53|0.59|0.77|269|127.7|7|21|0|0|169P/NEAT (= 2002 EX12)                 |                                                                                                                                                      |    |4) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>
5|1|4|CAP|alpha Capricornids                      | annual |1|127.9|307.1|-8.9|       |       |22.6|       |0.586|0.77|268.4|127.9|7.4|22|0|0|                                        |                                                                                                                                                      |P   |5) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
6|1|5|CAP|alpha Capricornids                      |2002/06 |1|123.5|302.9|-9.9|0.66|0.28|22.2|2.35|0.586|0.75|269.2|123.3|7.3|145|0|0|                                        |                                                                                                                                                      |R   |6) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
7|1|6|CAP|alpha Capricornids                      |2007/08 |1|126.1|305.7|-9.4|0.5|0.26|22.4|       |0.586|0.77|268.4|127.9|7.4|122|0|0|                                        |                                                                                                                                                      |T   |7) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
8|1|7|CAP|alpha Capricornids                      | annual |1|125|305.1|-10.2|0.57|0.27|23.7|       |       |       |       |       |       |2282|0|0|169P/NEAT (= 2002 EX12)                 |                                                                                                                                                      |T   |8) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...98M' target=_blank>Molau and Rendtel, 2009</A> 
9|1|8|CAP|alpha Capricornids                      | annual |1|127|306.5|-9.2|0.97|0.24|23|2.54|0.578|0.774|268.9|125.4|7.5|646|0|0|169P/NEAT                               |                                                                                                                                                      |T   |9) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>    
10|1|9|CAP|alpha Capricornids                      | annual |-2|124.4|303.8|-9.8|       |       |22.9|2.61|0.582|0.777|268.7|124.4|7.4|2069|0|0|                                        |                                                                                                                                                      |C   |1) Jenniskens et al., 2018 sub to PSS
